COD_ACM,NUMERO_ORIGINAL_SNC,NoPredial,Nombre,DOCUMENTO,Direccion,MatriculaInmobiliaria_ACM,Base Nueva IGAC 20260612
254730000000000010901900000253,254730000000000010901900000253,0000000000010901900000253,IMSAJOR SAS,9001412568,L COMIDAS 184,050C-1754701,PENDIENTE RECIBO
254730000000000010901900000424,254730000000000010901900000424,0000000000010901900000424,IMSAJOR SAS,9001412568,LO C-2-1,050C-1769285,PENDIENTE RECIBO
254730000000000010901900000426,254730000000000010901900000426,0000000000010901900000426,IMSAJOR SAS,9001412568,LO T6,050C-1769287,PENDIENTE RECIBO
254730000000000010901900000431,254730000000000010901900000431,0000000000010901900000431,CARIBBEAN EXOTICS SA,8001764286,LO 83 MZ T4,050C-1769292,PENDIENTE RECIBO
254730000000000010901900000436,254730000000000010901900000436,0000000000010901900000436,MARIA JOSE DOMINGUEZ ROJAS,1032408574,LO 88 MZ T4,050C-1769297,PENDIENTE RECIBO
254730000000000010901900000441,254730000000000010901900000441,0000000000010901900000441,IMSAJOR SAS,9001412568,LO 93 MZ T5,050C-1769302,PENDIENTE RECIBO
254730000000000010901900000464,254730000000000010901900000464,0000000000010901900000464,IMSAJOR SAS,9001412568,LO 9 MZ P2,050C-1888578,PENDIENTE RECIBO
254730000000000010901900000465,254730000000000010901900000465,0000000000010901900000465,IMSAJOR SAS,9001412568,LO 10 MZ P2,050C-1888581,PENDIENTE RECIBO
254730100000000320002000000000,254730100000000320002000000000,0100000000320002000000000,MARIA DEL PILAR LEYVA GALAN,51565759,C 5 4 49,50C-625005,PENDIENTE RECIBO
254730100000003180002000000000,254730100000003180002000000000,0100000003180002000000000,CORTES HELENA MARIA,20753581,K 3 4E 15,50C-873644,PENDIENTE RECIBO
254730000000000010901900000470,254730000000000010901900000470,0000000000010901900000470,IMSAJOR SAS,9001412568,LO 15 MZ P2,050C-1888594,PENDIENTE RECIBO
254730000000000010901900000471,254730000000000010901900000471,0000000000010901900000471,IMSAJOR SAS,9001412568,LO 16 MZ P2,050C-1888596,PENDIENTE RECIBO
254730000000000010901900000472,254730000000000010901900000472,0000000000010901900000472,IMSAJOR SAS,9001412568,LO 33 MZ P4,050C-1888598,PENDIENTE RECIBO
254730000000000010901900000473,254730000000000010901900000473,0000000000010901900000473,IMSAJOR SAS,9001412568,LO 34 MZ P4,050C-1888610,PENDIENTE RECIBO
254730000000000010901900000477,254730000000000010901900000477,0000000000010901900000477,IMSAJOR SAS,9001412568,LO 38 MZ P4,050C-1888673,PENDIENTE RECIBO
254730000000000010901900000478,254730000000000010901900000478,0000000000010901900000478,IMSAJOR SAS,9001412568,LO 39 MZ P4,050C-1888675,PENDIENTE RECIBO
254730000000000010901900000479,254730000000000010901900000479,0000000000010901900000479,IMSAJOR SAS,9001412568,LO 40 MZ P4,050C-1888676,PENDIENTE RECIBO
254730000000000010901900000497,254730000000000010901900000497,0000000000010901900000497,IMSAJOR SAS,9001412568,LO 26 MZ P3,050C-1885584,PENDIENTE RECIBO
254730000000000010901900000499,254730000000000010901900000499,0000000000010901900000499,IMSAJOR SAS,9001412568,LO 28 MZ P3,050C-1885586,PENDIENTE RECIBO
254730000000000010901900000500,254730000000000010901900000500,0000000000010901900000500,IMSAJOR SAS,9001412568,LO 29 MZ P3,050C-1885589,PENDIENTE RECIBO
254730000000000010901900000504,254730000000000010901900000504,0000000000010901900000504,IMSAJOR SAS,9001412568,LO 41 MZ P3,050C-1885597,PENDIENTE RECIBO
254730000000000010901900000505,254730000000000010901900000505,0000000000010901900000505,IMSAJOR SAS,9001412568,LO 42 MZ P3,050C-1885600,PENDIENTE RECIBO
254730000000000010901900000507,254730000000000010901900000507,0000000000010901900000507,INUBERCO SA,8909159928,LO 44 MZ P3,050C-1885604,PENDIENTE RECIBO
254730000000000010901900000508,254730000000000010901900000508,0000000000010901900000508,INUBERCO SA,8909159928,LO 45 MZ P3,050C-1885605,PENDIENTE RECIBO
254730000000000010901900000509,254730000000000010901900000509,0000000000010901900000509,INUBERCO SA,8909159928,LO 46 MZ P3,050C-1885606,PENDIENTE RECIBO
254730100000000230011000000000,254730100000000230011000000000,0100000000230011000000000,FELIX LOPEZ RIVERA,2920414,C 2 3 61,50C-91519,PENDIENTE RECIBO
254730000000000010901900000513,254730000000000010901900000513,0000000000010901900000513,IMSAJOR SAS,9001412568,LO 50 MZ P5,050C-1886177,PENDIENTE RECIBO
254730000000000010901900000514,254730000000000010901900000514,0000000000010901900000514,PLASTEMPACK DE COLOMBIA LTDA,8300487188,LO 51 MZ P5,050C-1886178,PENDIENTE RECIBO
254730000000000010901900000517,254730000000000010901900000517,0000000000010901900000517,IMSAJOR SAS,9001412568,LO 54 MZ P5,050C-1886252,PENDIENTE RECIBO
254730000000000010901900000518,254730000000000010901900000518,0000000000010901900000518,IMSAJOR SAS,9001412568,LO 55 MZ P5,050C-1886256,PENDIENTE RECIBO
254730100000000750384000000000,254730100000000750384000000000,0100000000750384000000000,MARIA ISABELINA CAMACHO CAMACHO,41306976,K 5 10 119,050C-1254015,PENDIENTE RECIBO
254730000000000010901900000522,254730000000000010901900000522,0000000000010901900000522,IMSAJOR SAS,9001412568,LO 59 MZ P5,050C-1886872,PENDIENTE RECIBO
254730000000000010901900000523,254730000000000010901900000523,0000000000010901900000523,IMSAJOR SAS,9001412568,LO 60 MZ P5,050C-1886876,PENDIENTE RECIBO
254730000000000010901900000525,254730000000000010901900000525,0000000000010901900000525,IMSAJOR SAS,9001412568,LO 62 MZ P5,050C-1886878,PENDIENTE RECIBO
254730000000000010901900000528,254730000000000010901900000528,0000000000010901900000528,IMSAJOR SAS,9001412568,TP1-01 MZ P1,050C-1887992,PENDIENTE RECIBO
254730000000000010901900000529,254730000000000010901900000529,0000000000010901900000529,IMSAJOR SAS,9001412568,TP1-02 MZ P1,050C-1887993,PENDIENTE RECIBO
254730000000000010901900000530,254730000000000010901900000530,0000000000010901900000530,IMSAJOR SAS,9001412568,TP1-03 MZ P1,050C-1887994,PENDIENTE RECIBO
254730000000000010901900000531,254730000000000010901900000531,0000000000010901900000531,IMSAJOR SAS,9001412568,TP1-04 MZ P1,050C-1887995,PENDIENTE RECIBO
254730000000000010901900000532,254730000000000010901900000532,0000000000010901900000532,IMSAJOR SAS,9001412568,TP1-05 MZ P1,050C-1888086,PENDIENTE RECIBO
254730000000000010901900000533,254730000000000010901900000533,0000000000010901900000533,IMSAJOR SAS,9001412568,TP1-06 MZ P1,050C-1888508,PENDIENTE RECIBO
254730000000000010901900000534,254730000000000010901900000534,0000000000010901900000534,IMSAJOR SAS,9001412568,TP1-07 MZ P1,050C-1888509,PENDIENTE RECIBO
254730000000000010901900000535,254730000000000010901900000535,0000000000010901900000535,IMSAJOR SAS,9001412568,TP1-08 MZ P1,050C-1888510,PENDIENTE RECIBO
254730000000000010901900000536,254730000000000010901900000536,0000000000010901900000536,IMSAJOR SAS,9001412568,TP1-09 MZ P1,050C-1888511,PENDIENTE RECIBO
254730000000000010901900000537,254730000000000010901900000537,0000000000010901900000537,IMSAJOR SAS,9001412568,TP1-10 MZ P1,050C-1888512,PENDIENTE RECIBO
254730000000000010901900000538,254730000000000010901900000538,0000000000010901900000538,IMSAJOR SAS,9001412568,TP1-11 MZ P1,050C-1888513,PENDIENTE RECIBO
254730000000000010901900000539,254730000000000010901900000539,0000000000010901900000539,IMSAJOR SAS,9001412568,TP1-12 MZ P1,050C-1888515,PENDIENTE RECIBO
254730000000000010901900000540,254730000000000010901900000540,0000000000010901900000540,IMSAJOR SAS,9001412568,TP1-13 MZ P1,050C-1888518,PENDIENTE RECIBO
254730000000000010901900000541,254730000000000010901900000541,0000000000010901900000541,IMSAJOR SAS,9001412568,TP1-14 MZ P1,050C-1888522,PENDIENTE RECIBO
254730000000000010901900000542,254730000000000010901900000542,0000000000010901900000542,IMSAJOR SAS,9001412568,TP1-15 MZ P1,050C-1888523,PENDIENTE RECIBO
254730000000000010901900000543,254730000000000010901900000543,0000000000010901900000543,IMSAJOR SAS,9001412568,TP1-16 MZ P1,050C-1888524,PENDIENTE RECIBO
254730000000000010901900000544,254730000000000010901900000544,0000000000010901900000544,IMSAJOR SAS,9001412568,TP1-17 MZ P1,050C-1888525,PENDIENTE RECIBO
254730000000000010901900000545,254730000000000010901900000545,0000000000010901900000545,IMSAJOR SAS,9001412568,TP1-18 MZ P1,050C-1888526,PENDIENTE RECIBO
254730000000000010901900000546,254730000000000010901900000546,0000000000010901900000546,IMSAJOR SAS,9001412568,TP1-19 MZ P1,050C-1888527,PENDIENTE RECIBO
254730000000000010901900000547,254730000000000010901900000547,0000000000010901900000547,IMSAJOR SAS,9001412568,TP1-20 MZ P1,050C-1888528,PENDIENTE RECIBO
254730000000000010901900000548,254730000000000010901900000548,0000000000010901900000548,IMSAJOR SAS,9001412568,TP1-21 MZ P1,050C-1888540,PENDIENTE RECIBO
254730000000000010901900000549,254730000000000010901900000549,0000000000010901900000549,IMSAJOR SAS,9001412568,TP1-22 MZ P1,050C-1888541,PENDIENTE RECIBO
254730000000000010901900000550,254730000000000010901900000550,0000000000010901900000550,IMSAJOR SAS,9001412568,TP1-23 MZ P1,050C-1888542,PENDIENTE RECIBO
254730000000000010901900000551,254730000000000010901900000551,0000000000010901900000551,IMSAJOR SAS,9001412568,TP1-24 MZ P1,050C-1888543,PENDIENTE RECIBO
254730000000000010901900000552,254730000000000010901900000552,0000000000010901900000552,IMSAJOR SAS,9001412568,TP1-25 MZ P1,050C-1888544,PENDIENTE RECIBO
254730000000000010901900000553,254730000000000010901900000553,0000000000010901900000553,IMSAJOR SAS,9001412568,TP1-26 MZ P1,050C-1888545,PENDIENTE RECIBO
254730000000000010901900000554,254730000000000010901900000554,0000000000010901900000554,IMSAJOR SAS,9001412568,TP1-27 MZ P1,050C-1888546,PENDIENTE RECIBO
254730000000000010901900000555,254730000000000010901900000555,0000000000010901900000555,IMSAJOR SAS,9001412568,TP1-28 MZ P1,050C-1888554,PENDIENTE RECIBO
254730000000000010901900000556,254730000000000010901900000556,0000000000010901900000556,IMSAJOR SAS,9001412568,TP1-29 MZ P1,050C-1888557,PENDIENTE RECIBO
254730000000000010901900000557,254730000000000010901900000557,0000000000010901900000557,IMSAJOR SAS,9001412568,TP1-30 MZ P1,050C-1888558,PENDIENTE RECIBO
254730000000000010901900000558,254730000000000010901900000558,0000000000010901900000558,IMSAJOR SAS,9001412568,TP1-31 MZ P1,050C-1888559,PENDIENTE RECIBO
254730000000000010901900000559,254730000000000010901900000559,0000000000010901900000559,IMSAJOR SAS,9001412568,TP1-32 MZ P1,050C-1888563,PENDIENTE RECIBO
254730000000000010901900000560,254730000000000010901900000560,0000000000010901900000560,IMSAJOR SAS,9001412568,TP1-33 MZ P1,050C-1888566,PENDIENTE RECIBO
254730000000000010901900000561,254730000000000010901900000561,0000000000010901900000561,IMSAJOR SAS,9001412568,TP1-34 MZ P1,050C-1888571,PENDIENTE RECIBO
254730000000000010907900006236,0,0000000000010907900006236,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 214-215,050C-2016201,PENDIENTE RECIBO
254730000000000010907900006248,0,0000000000010907900006248,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 230,050C-2016213,PENDIENTE RECIBO
254730000000000010907900006297,0,0000000000010907900006297,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 279,050C-2016262,PENDIENTE RECIBO
254730000000000010907900006299,0,0000000000010907900006299,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 281,050C-2016264,PENDIENTE RECIBO
254730000000000010907900006313,0,0000000000010907900006313,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 295,050C-2016278,PENDIENTE RECIBO
254730000000000010907900006316,0,0000000000010907900006316,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 298,050C-2016281,PENDIENTE RECIBO
254730000000000010907900006324,0,0000000000010907900006324,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 306,050C-2016289,PENDIENTE RECIBO
254730000000000010907900006325,0,0000000000010907900006325,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 307,050C-2016290,PENDIENTE RECIBO
254730000000000010907900006328,0,0000000000010907900006328,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 310,050C-2016293,PENDIENTE RECIBO
254730000000000010907900006329,0,0000000000010907900006329,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 311,050C-2016294,PENDIENTE RECIBO
254730000000000010907900006332,0,0000000000010907900006332,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 314,050C-2016297,PENDIENTE RECIBO
254730000000000010907900006338,0,0000000000010907900006338,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 320,050C-2016303,PENDIENTE RECIBO
254730000000000010907900006339,0,0000000000010907900006339,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 321,050C-2016304,PENDIENTE RECIBO
254730000000000010907900006340,0,0000000000010907900006340,FIDUCIARIA DE OCCIDENTE SA,8300540762,K 14A 10 27 S Pq 322,050C-2016305,PENDIENTE RECIBO
254730000000000010907900006424,0,0000000000010907900006424,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Ap 7-103 Et 2B,050C-2059549,PENDIENTE RECIBO
254730000000000010907900006425,0,0000000000010907900006425,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Ap 7-104 Et 2B,050C-2059550,PENDIENTE RECIBO
254730000000000010907900006438,0,0000000000010907900006438,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Ap 7-501 Et 2B,050C-2059563,PENDIENTE RECIBO
254730000000000010907900006442,0,0000000000010907900006442,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Ap 7-601 Et 2B,050C-2059567,PENDIENTE RECIBO
254730000000000010907900006449,0,0000000000010907900006449,KAREN LILIANA ESTEBAN MONSALVE,1098644957,K 14A 10 27 S Ap 7-704 Et 2B,050C-2059574,PENDIENTE RECIBO
254730000000000010907900006451,0,0000000000010907900006451,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Ap 7-802 Et 2B,050C-2059576,PENDIENTE RECIBO
254730000000000010907900006452,0,0000000000010907900006452,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Ap 7-803 Et 2B,050C-2059577,PENDIENTE RECIBO
254730000000000010907900006453,0,0000000000010907900006453,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Ap 7-804 Et 2B,050C-2059578,PENDIENTE RECIBO
254730000000000010907900006454,0,0000000000010907900006454,ALEJANDRO OSORIO CALLE,79590503,K 14A 10 27 S Pq S-S1 Et 2B,050C-2059579,PENDIENTE RECIBO
254730000000000010907900006455,0,0000000000010907900006455,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S2 Et 2B,050C-2059580,PENDIENTE RECIBO
254730000000000010907900006456,0,0000000000010907900006456,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S3 Et 2B,050C-2059581,PENDIENTE RECIBO
254730000000000010907900006457,0,0000000000010907900006457,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S4 Et 2B,050C-2059582,PENDIENTE RECIBO
254730000000000010907900006460,0,0000000000010907900006460,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S7 Et 2B,050C-2059585,PENDIENTE RECIBO
254730000000000010907900006461,0,0000000000010907900006461,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S8 Et 2B,050C-2059586,PENDIENTE RECIBO
254730000000000010907900006476,0,0000000000010907900006476,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S37-38 Et 2B,050C-2059601,PENDIENTE RECIBO
254730000000000010907900006480,0,0000000000010907900006480,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S45-46 Et 2B,050C-2059605,PENDIENTE RECIBO
254730000000000010907900006481,0,0000000000010907900006481,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S47-48 Et 2B,050C-2059606,PENDIENTE RECIBO
254730000000000010907900006489,0,0000000000010907900006489,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S56 Et 2B,050C-2059614,PENDIENTE RECIBO
254730000000000010907900006493,0,0000000000010907900006493,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S60 Et 2B,050C-2059618,PENDIENTE RECIBO
254730000000000010907900006497,0,0000000000010907900006497,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S64 Et 2B,050C-2059622,PENDIENTE RECIBO
254730000000000010907900006500,0,0000000000010907900006500,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S67 Et 2B,050C-2059625,PENDIENTE RECIBO
254730000000000010907900006501,0,0000000000010907900006501,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S68 Et 2B,050C-2059626,PENDIENTE RECIBO
254730000000000010907900006502,0,0000000000010907900006502,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S69 Et 2B,050C-2059627,PENDIENTE RECIBO
254730000000000010907900006503,0,0000000000010907900006503,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S70 Et 2B,050C-2059628,PENDIENTE RECIBO
254730000000000010907900006506,0,0000000000010907900006506,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S73 Et 2B,050C-2059631,PENDIENTE RECIBO
254730000000000010907900006510,0,0000000000010907900006510,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S77 Et 2B,050C-2059635,PENDIENTE RECIBO
254730000000000010907900006513,0,0000000000010907900006513,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S80 Et 2B,050C-2059638,PENDIENTE RECIBO
254730000000000010907900006514,0,0000000000010907900006514,FIDUCIARIA DE OCCIDENTE SA,830054076-2,K 14A 10 27 S Pq S-S81 Et 2B,050C-2059639,PENDIENTE RECIBO
